Subsystem,Section,Subteam,Project,Part,Mass Margin (%),Component Mass % Relative to Vehicle,Component Mass % Without PV,Mass Allotted (lbs),Minimum Mass Allotted (lbs),Maximum Mass Allotted (lbs),kg,Mass Measured (lbs),Mass Measured (kg),Mass Allotted (kg),Minimum Mass Allotted (kg),Maximum Mass Allotted (kg),Notes,length,outerDiameter,startDiameter,endDiameter,Tip Position x (m),Tip Position y (m),Tip Position z (m),CGx (m),CGy (m),CGz (m),Rocket CGz (m),Radial CG (m),Theta (degrees),Length (in),Diam/Width (in),Tip Position (in),CGx (in),CGy (in),CGz (in),CGz (in),Radial CG (in),MOIx (kg m^2),MOIy (kg m^2),MOIz (kg m^2),Shape,surfaceRoughness,class,Wet Mass Allocation,Dry Mass Allocation
,,,,Nozzle Housing,20.00%,1.69%,2.11%,5.5,4.4,6.6,2.4948,1.98288515,0.8994215746,2.494758035,1.995806428,2.993709642,Full Nozzle Housing Design_Lower,,,0.14605,0.1625092,0,0,4.4409106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00271565,0.00271565,0,Cylindrical,,Mass,1.01%,1.19%
,,,,Bolt Ring 1,10.00%,0.02%,0.03%,1,0.9,1.1,0.4536,0.024,0.01088621688,0.45359237,0.408233133,0.498951607,,,0.14,,,0,0,4.5,0,0,-0.01,0.01,0,0,0,5.511811024,0,0,0,-0.3937007874,0.3937007874,0,0.0000588,0.0000588,0.0001176,Cylindrical,,Mass,0.51%,0.60%
,,,Injector Bulkhead,Total,3.25,0.00%,0.00%,,0,0,0.0000,,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
,,,,Injector Bulkhead,15.00%,1.24%,1.55%,1.43,1.2155,1.6445,0.6486,1.45,0.6577089365,0.6486370891,0.5513415257,0.7459326525,Bulkhead_InjectorBulkhead_lower,0.08,,0.16,0.13,0,0,3.87,0,0,-0.04,0.04,0,0,3.149606299,0,0,0,0,-1.57480315,1.57480315,0,0.00102973,0.00103676,0.00200545,Cylindrical,,Mass,0.74%,0.87%
,,,,Bolt Ring 2,2.00%,1.84%,2.30%,1.82,1.7836,1.8564,0.8255,2.16,0.9797595192,0.8255381134,0.8090273511,0.8420488757,Button Head Hex Drive_0.25-20 0.5 L_18-8SS_92949A537 (24 Instasnces so multiplied mass of 1 bolt by 24),,0.13,,,0,0,3.89,0,0,-0.01,0.01,0,0,0,5.118110236,0,0,0,-0.3937007874,0.3937007874,0,0.002069615,0.002069615,0.00413923,Cylindrical,,Mass,1.10%,1.30%
,,,,,,,,,0,0,0.0000,,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
,,,,,,106.62%,,,0,0,0.0000,140.2967,63.63750393,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
,,,,,,,,,0,0,,,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
,,,,,,,,,0,0,0.0000,,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
,,,,,,,,,0,0,0.0000,,0,0,0,0,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,
