Time (s),Injector Temp (C),NOX Pressure (PSI),Ox Tank Load Cell (kg),Thrust Load Cell (lbf),Chamber Pressure (PSI),Light Sensor (V),Nitrous Bottle (PSI),Comment
1639.157,21.185495,672.804125,-7.012572,30.907263,8.247971,0.483421,514.748154,
1639.158,22.292942,672.902628,-7.001632,31.300672,7.468542,0.496219,511.17746,
1639.159,20.476729,675.562187,-7.023512,31.890785,8.53513,0.473906,512.244564,
1639.16,21.761367,672.968296,-7.034452,30.907263,9.109446,0.51,510.356611,
1639.161,21.27409,673.00113,-7.023512,31.103967,8.576152,0.516563,510.561823,
1639.162,22.071452,670.669911,-7.023512,31.69408,8.371039,0.513282,516.677149,
1639.163,20.87541,674.117488,-7.034452,32.677603,7.099339,0.535266,513.475837,
1639.164,21.894261,674.478663,-7.023512,33.956182,7.140361,0.540517,509.289507,
1639.165,21.539878,673.657811,-7.067272,32.284194,8.617175,0.525751,510.931205,
1639.166,22.027155,673.986152,-7.023512,32.874307,9.109446,0.517547,512.285606,
1639.167,21.539878,674.544331,-7.023512,32.972659,8.206949,0.533626,514.173559,
1639.168,21.141197,670.735579,-7.023512,31.497376,7.59161,0.536251,515.733172,
1639.169,22.780219,673.230968,-7.012572,32.480898,9.478649,0.521813,511.546842,
1639.17,21.096899,670.407239,-7.034452,29.628684,8.412062,0.511313,513.18854,
1639.171,21.539878,673.00113,-7.012572,31.300672,8.042858,0.494906,515.938385,
1639.172,22.160048,672.968296,-7.045392,35.529818,7.960813,0.495891,509.823059,
1639.173,20.919707,674.347327,-7.012572,30.612206,7.181384,0.496547,510.931205,
1639.174,22.160048,671.95044,-7.056332,31.399024,7.673655,0.492281,509.535762,
1639.175,20.786814,673.066798,-7.023512,31.399024,8.658197,0.490969,510.356611,
1639.176,21.894261,671.523597,-7.034452,31.497376,7.017293,0.490969,510.808078,
1639.177,21.938559,675.496519,-7.045392,31.202319,7.59161,0.491297,508.263446,
1639.178,21.761367,673.066798,-6.990692,31.792433,7.714678,0.524766,513.763135,
1639.179,21.672771,672.377283,-7.001632,32.087489,8.986378,0.537235,511.382672,
1639.18,21.141197,672.804125,-7.001632,32.087489,7.714678,0.519516,511.01329,
1639.181,22.824516,674.93834,-7.034452,32.775955,8.69922,0.542485,514.625026,
1639.182,21.849963,674.281659,-7.012572,32.775955,8.740243,0.541829,510.274526,
1639.183,20.919707,673.263802,-7.034452,32.579251,7.960813,0.536251,508.468658,
1639.184,22.780219,672.804125,-7.023512,33.562773,8.658197,0.533954,515.199621,
1639.185,22.248644,675.98903,-7.012572,33.464421,7.878768,0.527391,512.080394,
1639.186,20.919707,672.935462,-7.023512,32.579251,6.319909,0.510328,510.725993,
1639.187,21.362686,675.004008,-7.012572,33.267716,9.273536,0.503438,512.531861,
1639.188,21.761367,673.723479,-7.023512,31.989137,8.945356,0.500156,511.218502,
1639.189,21.406984,675.693524,-7.034452,31.202319,7.796723,0.498516,508.304489,
1639.19,22.381538,670.440073,-7.034452,31.497376,7.427519,0.502125,510.397653,
1639.191,22.691623,674.642833,-7.023512,31.399024,6.607068,0.498516,509.371592,
1639.192,22.11575,672.213112,-7.023512,31.202319,8.165926,0.501141,509.125338,
1639.193,22.160048,671.786269,-7.012572,32.382546,8.658197,0.51,513.270625,
1639.194,22.735921,674.708501,-7.045392,32.972659,8.001836,0.491625,508.427616,
1639.195,22.33724,671.819103,-7.023512,32.972659,6.566045,0.525422,512.490818,
1639.196,22.647325,668.338693,-7.023512,32.677603,8.371039,0.53297,510.808078,
1639.197,21.185495,672.475785,-7.045392,32.579251,8.658197,0.526079,511.34163,
1639.198,21.27409,675.956196,-7.001632,31.595728,7.427519,0.544126,509.576804,
1639.199,22.470133,673.099632,-7.023512,32.972659,8.53513,0.51,509.33055,
1639.2,22.160048,671.654933,-7.012572,32.972659,7.673655,0.512297,510.233484,Standby
1639.201,20.87541,674.478663,-7.034452,32.677603,8.740243,0.540845,511.382672,
1639.202,21.717069,673.789147,-7.078212,32.677603,7.796723,0.508688,509.084295,
1639.203,22.691623,671.589265,-7.198551,32.677603,7.673655,0.518532,511.875182,
1639.204,21.849963,673.198134,-7.067272,33.562773,7.796723,0.500156,511.669969,
1639.205,21.406984,672.705623,-7.176671,31.989137,8.124904,0.502125,510.028271,
1639.206,22.470133,670.735579,-7.100092,31.005615,8.617175,0.501469,509.371592,
1639.207,21.938559,675.98903,-7.154792,30.513854,6.771158,0.502125,512.490818,
1639.208,21.185495,675.792026,-6.957873,31.989137,7.7557,0.499172,509.412635,
1639.209,21.27409,672.836959,-6.968813,31.595728,7.837745,0.501469,515.610045,
1639.21,22.425835,673.329471,-6.990692,31.202319,8.86331,0.501797,512.244564,
1639.211,21.894261,676.021864,-6.979752,30.317149,8.247971,0.523454,507.524682,
1639.212,22.647325,671.819103,-6.979752,33.366068,7.304452,0.533626,508.714913,
1639.213,22.558729,671.819103,-6.968813,32.874307,6.771158,0.542814,512.039351,
1639.214,22.248644,673.789147,-6.979752,31.497376,6.81218,0.536907,506.703833,
1639.215,22.868814,670.604243,-6.957873,31.792433,7.878768,0.535595,512.244564,
1639.216,22.381538,674.412995,-6.979752,32.775955,9.929898,0.536251,513.106455,
1639.217,23.134602,673.624977,-6.968813,33.464421,7.427519,0.530344,511.054333,
1639.218,22.381538,674.21599,-6.979752,33.267716,10.381147,0.515907,511.34163,
1639.219,21.008303,672.344448,-6.968813,32.284194,8.904333,0.513282,514.953366,
1639.22,21.539878,672.771291,-6.990692,33.759477,7.345474,0.483093,507.935107,
1639.221,22.292942,671.22809,-6.990692,32.382546,9.109446,0.485062,510.438696,
1639.222,22.514431,676.284537,-6.990692,33.759477,7.7557,0.493594,507.524682,
1639.223,20.831112,672.245946,-6.990692,29.431979,9.109446,0.494906,513.229583,
1639.224,21.982857,672.508619,-6.979752,31.399024,8.001836,0.484078,513.311668,
1639.225,20.210941,672.344448,-6.979752,31.497376,7.7557,0.489656,509.453677,
1639.226,21.539878,673.526475,-6.979752,31.69408,7.673655,0.499172,511.382672,
1639.227,22.027155,671.687767,-6.968813,32.087489,8.042858,0.503438,509.289507,
1639.228,21.805665,674.478663,-6.990692,30.120445,8.617175,0.531001,508.961168,
1639.229,21.141197,674.971174,-6.979752,31.497376,7.796723,0.542814,512.039351,
1639.23,21.362686,675.792026,-6.957873,33.071012,7.468542,0.533298,510.315569,
1639.231,21.761367,672.213112,-6.968813,34.939704,6.525022,0.521813,507.770937,
1639.232,21.894261,673.329471,-6.968813,31.497376,7.509565,0.539204,515.445875,
1639.233,21.672771,675.036842,-6.935993,32.677603,9.437627,0.535923,510.028271,
1639.234,22.647325,674.544331,-6.968813,33.071012,8.042858,0.515579,509.617847,
1639.235,21.938559,672.442951,-6.979752,33.759477,6.771158,0.531985,510.110356,
1639.236,22.381538,673.427973,-6.979752,33.956182,8.494107,0.497859,510.233484,
1639.237,22.780219,672.180278,-6.990692,31.103967,7.919791,0.486703,506.293409,
1639.238,22.204346,675.693524,-6.968813,31.890785,8.740243,0.498187,511.875182,
1639.239,22.11575,671.786269,-6.968813,34.054534,6.689113,0.500484,512.696031,
1639.24,23.1789,675.496519,-6.968813,32.677603,8.001836,0.482109,509.823059,
1639.241,21.141197,670.046064,-7.001632,31.202319,7.878768,0.501797,513.722092,
1639.242,22.160048,675.135344,-6.968813,31.399024,7.919791,0.498187,509.740974,
1639.243,21.008303,670.472907,-7.001632,33.366068,8.206949,0.505078,512.572903,
1639.244,21.982857,673.624977,-6.968813,32.284194,7.59161,0.513938,508.920125,
1639.245,20.698218,672.771291,-7.001632,31.792433,7.714678,0.529032,511.464757,
1639.246,21.052601,675.135344,-6.957873,31.69408,7.427519,0.541173,512.531861,
1639.247,21.539878,671.654933,-6.979752,32.382546,8.822288,0.533298,509.864102,
1639.248,21.849963,671.326592,-6.979752,34.251238,9.191491,0.539204,512.449776,
1639.249,21.584176,672.935462,-6.957873,32.874307,6.689113,0.540188,512.367691,
1639.25,22.248644,674.741336,-6.957873,32.874307,8.371039,0.530016,511.259545,
1639.251,21.584176,671.031086,-6.979752,32.874307,8.86331,0.525751,513.18854,
1639.252,21.717069,675.792026,-6.946933,33.562773,8.288994,0.504422,512.572903,
1639.253,22.248644,671.786269,-6.968813,32.480898,6.319909,0.511969,508.796998,
1639.254,21.406984,675.10251,-6.946933,32.874307,6.894226,0.500813,511.300587,
1639.255,22.027155,672.475785,-6.979752,29.136922,7.632632,0.500484,509.16638,
1639.256,21.451282,673.986152,-6.968813,30.218797,8.86331,0.47489,507.935107,
1639.257,21.584176,671.589265,-6.968813,32.480898,7.796723,0.495562,511.5058,
1639.258,21.584176,676.153201,-6.979752,31.399024,7.878768,0.500813,508.961168,
1639.259,22.425835,669.225212,-6.990692,31.399024,8.576152,0.505735,508.427616,
1639.26,21.584176,672.147444,-6.968813,29.333627,8.412062,0.501141,512.613946,
1639.261,23.046006,672.804125,-6.957873,32.579251,8.986378,0.519188,512.901243,
1639.262,22.514431,676.120367,-6.968813,34.152886,7.960813,0.534282,507.688852,
1639.263,22.425835,670.144566,-6.979752,32.677603,8.124904,0.534282,515.445875,
1639.264,21.49558,674.478663,-6.968813,29.92374,8.822288,0.521813,511.998309,
1639.265,23.134602,670.702745,-6.990692,32.382546,10.176034,0.539204,514.091474,
1639.266,21.717069,673.821982,-6.979752,33.169364,9.355582,0.533298,512.983328,
1639.267,21.229793,671.589265,-6.968813,33.267716,8.986378,0.53297,515.117536,
1639.268,21.49558,674.708501,-6.979752,31.792433,7.878768,0.525422,507.688852,
1639.269,22.160048,673.789147,-6.968813,33.169364,9.150469,0.521157,512.901243,
1639.27,23.001708,668.732701,-6.990692,31.005615,8.288994,0.508688,514.542941,
1639.271,21.406984,673.624977,-6.968813,32.087489,6.81218,0.497203,512.326649,
1639.272,23.356091,674.807004,-6.968813,31.202319,8.781265,0.495562,515.733172,
1639.273,22.691623,675.562187,-6.990692,30.120445,8.412062,0.495562,513.557922,
